subject,trial,Condition,Age,pupil_max
7,68,Sparse,YA,238.32
7,69,Dense,YA,524.080000000001
7,70,Dense,YA,504.040000000001
7,71,Dense,YA,104.98
7,72,Dense,YA,136
7,73,Dense,YA,243.7
7,74,Sparse,YA,314.62
7,76,Dense,YA,348.64
7,77,Dense,YA,249.68
7,78,Dense,YA,385.26
7,79,Dense,YA,689.32
7,80,Sparse,YA,641.5
8,1,Dense,YA,431.22
8,2,Dense,YA,374.96
8,3,Dense,YA,479.58
8,4,Sparse,YA,509.012452830188
8,5,Sparse,YA,130.587272727273
8,6,Sparse,YA,61.96
8,7,Sparse,YA,92.1799999999996
8,8,Dense,YA,306.44
8,9,Sparse,YA,545.08
8,10,Dense,YA,443.980000000001
8,11,Dense,YA,243.5
8,12,Dense,YA,793.519999999999
8,13,Sparse,YA,181.44
8,14,Sparse,YA,741.82
8,15,Dense,YA,6.86000000000004
8,16,Sparse,YA,51.7800000000002
8,17,Dense,YA,385.96
8,18,Dense,YA,134.42
8,19,Dense,YA,109.04
8,20,Sparse,YA,356.48
8,21,Sparse,YA,303.1
8,22,Sparse,YA,43.5199999999998
8,23,Dense,YA,83.1800000000004
8,24,Dense,YA,61.2799999999997
8,25,Dense,YA,243.639106145251
8,26,Sparse,YA,249.24
8,27,Sparse,YA,23.0800000000003
8,28,Sparse,YA,176.02
8,29,Dense,YA,44.2199999999997
8,30,Sparse,YA,136.94
8,31,Sparse,YA,41.5000000000003
8,32,Dense,YA,71.7800000000001
8,33,Sparse,YA,435.18
8,34,Dense,YA,531.56
8,35,Sparse,YA,208.78
8,36,Dense,YA,620.98
8,37,Sparse,YA,32.1000000000005
8,38,Sparse,YA,111.12
8,39,Dense,YA,7.94000000000033
8,40,Dense,YA,107.12
8,41,Sparse,YA,279.06
8,42,Sparse,YA,554.82
8,43,Sparse,YA,27.9599999999997
8,44,Sparse,YA,34.3399999999998
8,45,Dense,YA,63.0000000000002
8,46,Sparse,YA,69.8400000000001
8,47,Dense,YA,1237.32
8,48,Dense,YA,580.88
8,49,Sparse,YA,265.36
8,50,Sparse,YA,65.2200000000001
8,51,Dense,YA,149.8
8,52,Dense,YA,141.74
8,53,Sparse,YA,136.14
8,54,Dense,YA,38.2799999999996
8,55,Dense,YA,91.1288796680499
8,56,Dense,YA,931.66
8,57,Sparse,YA,41.4600000000003
8,58,Dense,YA,26.4599999999998
8,59,Dense,YA,201.639999999999
8,60,Dense,YA,519.152727272728
8,61,Dense,YA,50.5999999999998
8,62,Sparse,YA,38.4399999999992
8,63,Sparse,YA,1153.38
8,64,Dense,YA,887.94
8,65,Sparse,YA,324.02
8,66,Sparse,YA,573.88
8,67,Sparse,YA,108.72
8,68,Sparse,YA,694.120000000001
8,69,Sparse,YA,52.9599999999999
8,70,Dense,YA,614.08
8,71,Sparse,YA,40.8999999999994
8,72,Sparse,YA,475.88
8,73,Sparse,YA,24.0000000000005
8,74,Sparse,YA,224.84
8,75,Dense,YA,637.420000000001
8,76,Dense,YA,151.98
8,77,Dense,YA,628.56
8,78,Dense,YA,15.2799999999997
8,79,Dense,YA,322.38
8,80,Dense,YA,522.16
9,1,Sparse,YA,663.719999999999
9,2,Dense,YA,741.52
9,3,Sparse,YA,366.78
9,4,Sparse,YA,1687.36
9,5,Sparse,YA,491.76
9,6,Dense,YA,750.14
9,7,Dense,YA,525.5
9,8,Dense,YA,1675.54
9,9,Sparse,YA,163.500000000001
9,10,Sparse,YA,1743.98
9,11,Sparse,YA,227.5
9,12,Dense,YA,1042.96
9,13,Dense,YA,929.14
9,14,Sparse,YA,2086.88
9,15,Dense,YA,185
9,16,Dense,YA,1486.68
9,17,Sparse,YA,157.44
9,18,Sparse,YA,47.8999999999999
9,19,Dense,YA,84.2199999999996
9,20,Sparse,YA,170.66
9,21,Dense,YA,1005.16
9,22,Sparse,YA,772.04
9,23,Dense,YA,946.92
9,24,Dense,YA,319.9
9,25,Dense,YA,1734.58
9,26,Dense,YA,1357.04
9,27,Sparse,YA,320.62
9,28,Sparse,YA,473.64
9,29,Sparse,YA,1182.06
9,30,Dense,YA,597.9
9,31,Dense,YA,7.74000000000033
9,32,Sparse,YA,386.46
9,33,Dense,YA,182.38
9,34,Sparse,YA,738.08
9,35,Sparse,YA,621.500000000001
9,36,Sparse,YA,772.76
9,37,Sparse,YA,1001.72
9,38,Dense,YA,202.16
9,39,Dense,YA,1091.92
9,40,Sparse,YA,356.44
9,41,Dense,YA,625.099999999999
9,42,Sparse,YA,530.36
9,43,Dense,YA,1301.74
9,44,Dense,YA,1134.62
9,45,Dense,YA,1131.04
9,46,Dense,YA,132.78
9,47,Dense,YA,332.86
9,48,Dense,YA,1926.36
9,49,Dense,YA,696.300000000001
9,50,Sparse,YA,514.66
9,51,Sparse,YA,1114
9,52,Dense,YA,1129.46
9,53,Sparse,YA,532.64
9,54,Sparse,YA,1773.18
9,55,Sparse,YA,1363.58
9,56,Dense,YA,984.799999999999
9,57,Sparse,YA,548.74
9,58,Dense,YA,1183.6
9,59,Sparse,YA,1198.82
9,60,Dense,YA,443.86
9,61,Sparse,YA,852.86
9,62,Dense,YA,106.8
9,63,Sparse,YA,354.72
9,64,Dense,YA,1340.74
9,65,Sparse,YA,32.3999999999998
9,66,Dense,YA,812.5
9,67,Sparse,YA,744.6
9,68,Dense,YA,1204.02
9,69,Sparse,YA,326.66
9,70,Dense,YA,207.48
9,71,Dense,YA,1005.7
9,72,Sparse,YA,138.32
9,73,Sparse,YA,725.3
9,74,Sparse,YA,1091.64
9,75,Dense,YA,29.5399999999994
9,76,Dense,YA,814.560000000001
9,77,Sparse,YA,737.720000000001
9,78,Dense,YA,912.68
9,79,Sparse,YA,1304.38
9,80,Sparse,YA,1173.6
10,5,Dense,YA,428.48
10,6,Dense,YA,752.24
10,7,Dense,YA,463.8
10,8,Dense,YA,624.9
10,9,Dense,YA,628.7
10,10,Sparse,YA,756.419999999999
10,11,Sparse,YA,603.06
10,12,Dense,YA,113.06
10,13,Dense,YA,459.1
10,14,Dense,YA,498.22
10,15,Dense,YA,62.2999999999998
10,16,Sparse,YA,542.12
10,17,Sparse,YA,613.24
10,18,Dense,YA,29.9800000000001
10,19,Dense,YA,354.62
10,20,Dense,YA,1044.78
10,21,Sparse,YA,243.599999999999
10,22,Dense,YA,770.940000000001
10,23,Sparse,YA,240.66
10,24,Sparse,YA,471.74
10,25,Sparse,YA,341.92
10,26,Dense,YA,605.803461538461
10,27,Sparse,YA,402.48
10,28,Dense,YA,394.9
10,29,Dense,YA,182.3
10,30,Sparse,YA,1074.56
10,31,Sparse,YA,686.94
10,32,Sparse,YA,673.960000000001
10,33,Sparse,YA,1139.36
