id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31447,apical,_C,e,s,g,s,content,0.01,1.42,yes,403,-1.76938002380436,fricative,riesgo,rie#s#goan,ConSpell,low
31448,laminal,_C,e,z,k,s,content,2.68,4.96,no,403,-0.374954227329463,fricative,ezkondu,E#s#condu,InnSpell,mid
31449,apical,_C,e,s,t,s,grammatical,40.29,19.85,no,403,0.301007535976044,fricative,beste,be#s#te,ConSpell,high
31451,laminal,_V,n,z/tz,i,c,content,0.44,1.42,no,404,-0.825580357898793,affricate,zintzilik,Sin#c#ilic,ConSpell,mid
31454,apical,#_,&,s,e,s,content,0.3,19.14,yes,404,-0.921100930251679,fricative,serbitu,#s#ervitu,ConSpell,mid
31455,apical,_V,n,s/ts,a,s,content,0.01,2.84,yes,404,-1.76938002380436,affricate,kantsatu,Can#s#atu,ConSpell,low
31456,apical,_C,i,s,t,s,content,3.64,2.13,yes,404,-0.298594363333546,fricative,triste,tri#s#teari,ConSpell,mid
31457,apical,_V,e,s,a,s,content,0.01,1.42,yes,404,-1.76938002380436,fricative,pesamena,pe#s#amena,ConSpell,low
31459,apical,_V,e,s,e,s,content,0.18,2.13,no,404,-1.04850391469122,fricative,desegin,De#s#eguin,ConSpell,mid
31460,laminal,_V,n,z/tz,i,c,content,0.01,8.51,yes,405,-1.76938002380436,affricate,lizentzia,licen#c#ia,ConSpell,low
31461,laminal,_V,i,z,e,c,content,0.01,8.51,yes,405,-1.76938002380436,fricative,lizentzia,li#c#encia,ConSpell,low
31462,apical,_C,e,s,t,s,content,0.01,0.71,yes,405,-1.76938002380436,fricative,testimonio,te#s#timonioa,ConSpell,low
31463,apical,_C,e,s,k,s,content,0.15,1.42,yes,405,-1.09397600806814,fricative,deskubritu,De#s#cubritu,ConSpell,mid
31464,apical,#_,&,s,e,s,content,1.11,1.42,old,405,-0.594794852191692,fricative,sekretu,#s#ecretua,ConSpell,mid
31466,apical,_V,e,s,e,s,content,0.18,2.13,no,405,-1.04850391469122,fricative,desegin,De#s#eguin,ConSpell,mid
31467,laminal,_#,e,z,&,s,grammatical,5.21,1.42,no,405,-0.209158319671048,fricative,negar,negarre#s#,InnSpell,mid
31468,apical,_V,a,s,o,s,content,0.36,0.71,yes,405,-0.875628836874756,fricative,paso,pa#s#o,ConSpell,mid
31469,apical,_C,a,s,k,z,grammatical,24.45,21.98,no,405,0.17643594344657,fricative,asko,a#z#co,InnSpell,mid
31470,apical,_V,e,s,e,s,content,0.01,1.42,yes,405,-1.76938002380436,fricative,desempeñatu,De#s#empeñatu,ConSpell,low
31471,laminal,_#,e,z,&,s,grammatical,304.64,216.96,no,405,0.805562756089495,fricative,ez,e#s#,InnSpell,high
31472,laminal,_V,u,tz,a,z,grammatical,1.03,13.47,no,405,-0.613450724847758,affricate,aditu,aditu#z#att,ConSpell,mid
31473,laminal,#_,&,z,e,s,grammatical,111.87,49.63,no,405,0.555709486614679,fricative,zer,#s#er,InnSpell,high
31475,apical,_C,o,s,p,s,content,0.01,1.42,yes,405,-1.76938002380436,fricative,sospetxatu,so#s#pechattu,ConSpell,low
31476,apical,#_,&,s,o,s,content,0.01,1.42,yes,405,-1.76938002380436,fricative,sospetxatu,#s#ospechattu,ConSpell,low
31477,apical,_V,e,s,a,z,content,164.23,52.47,no,405,0.651464039031931,fricative,esan,E#z#an,InnSpell,high
31478,laminal,_V,a,z,o,z,content,6.19,0.71,old,405,-0.166171887936247,fricative,arrazoi,arra#z#oia,ConSpell,mid
31479,apical,_C,e,s,k,z,content,21.43,19.14,no,406,0.143554651549363,fricative,esku,e#z#cua,InnSpell,mid
31482,apical,#_,&,s,u,z,content,2.38,4.25,no,406,-0.404562788625726,fricative,su,#z#ua,InnSpell,mid
31483,apical,_V,e,s,a,z,content,164.23,52.47,no,406,0.651464039031931,fricative,esan,E#z#an,InnSpell,high
31484,apical,#_,&,s,o,s,content,0.01,0.71,yes,406,-1.76938002380436,fricative,sopapo,#s#opapo,ConSpell,low
31485,laminal,_C,u,z,k,z,content,0.37,4.96,no,406,-0.868795367840033,fricative,eguzki,Egu#z#quitic,ConSpell,mid
31487,laminal,_C,u,z,k,z,content,0.37,4.96,no,406,-0.868795367840033,fricative,eguzki,egu#z#quira,ConSpell,mid
31488,apical,_C,e,s,k,z,content,21.43,19.14,no,407,0.143554651549363,fricative,esku,e#z#cuarequin,InnSpell,mid
31490,apical,_C,e,s,k,z,content,21.43,19.14,no,407,0.143554651549363,fricative,esku,e#z#cua,InnSpell,mid
31491,laminal,#_,&,z,e,s,grammatical,18.62,12.05,no,407,0.108499254675605,fricative,zerbait,#s#erbaitengatic,InnSpell,mid
31493,apical,_V,u,s,a,s,content,0.01,2.84,yes,407,-1.76938002380436,fricative,eskusatu,escu#s#atua,ConSpell,low
31494,apical,_C,e,s,k,s,content,0.01,2.84,yes,407,-1.76938002380436,fricative,eskusatu,e#s#cusatua,ConSpell,low
31495,laminal,_V,e,z/tz,a,s,grammatical,304.64,216.96,no,407,0.805562756089495,affricate,ez,e#s#ait,InnSpell,high
31497,laminal,_C,e,z,t,s,grammatical,677.35,674.99,no,407,1.00485247356585,fricative,izan,e#s#ta,InnSpell,high
31498,apical,_V,a,s,a,s,content,0.01,0.71,yes,407,-1.76938002380436,fricative,asalariatu,a#s#alariatua,ConSpell,low
31499,laminal,_V,l,z/tz,e,c,grammatical,7.52,1.42,no,408,-0.117629732566304,affricate,galdu,gal#c#era,ConSpell,mid
31500,apical,_V,e,s,a,s,content,0.01,0.71,yes,408,-1.76938002380436,fricative,embelesatu,embele#s#atua,ConSpell,low
31501,laminal,_V,o,tz,a,z,content,2.09,4.96,no,408,-0.436969714086471,affricate,otz,o#z#ac,ConSpell,mid
31506,laminal,#_,&,z,e,s,grammatical,18.62,12.05,no,408,0.108499254675605,fricative,zerbait,#s#erbait,InnSpell,mid
31508,laminal,_V,o,z,i,c,content,1.84,4.25,yes,408,-0.468743665194043,fricative,negozio,nego#c#io,ConSpell,mid
31509,apical,_C,e,s,k,s,content,0.01,3.55,yes,409,-1.76938002380436,fricative,eskapatu,E#s#capatu,ConSpell,low
31511,apical,_V,a,s,e,s,content,0.79,9.22,yes,409,-0.679613436425338,fricative,paseatu,pa#s#eazera,ConSpell,mid
31512,laminal,_V,a,tz,e,z,grammatical,0.79,9.22,yes,409,-0.679613436425338,affricate,paseatu,pasea#z#era,ConSpell,mid
31514,laminal,_V,au,z,i,c,content,0.01,1.42,yes,409,-1.76938002380436,fricative,desauziatu,desau#c#iatua,ConSpell,low
31515,apical,_V,e,s,a,s,content,0.01,1.42,yes,409,-1.76938002380436,fricative,desauziatu,de#s#auciatua,ConSpell,low
